ABCC1
RGS10
RGS16
RHOB
RHOB
RHOJ
RHOU
RHOU
RIPK2
RIPK2
RNF150
S100A13
SALL2
SAV1
SBK1
SCAI
SCARB2
SCARB2
SCD
SCGB3A1
SEPW1
SEPW1
SETD9
SETDB2
SFI1
SGK223
SH2D1A
SH2D1A
SH2D1A
SH2D1A
SIPA1
SIRT4
SLA2
SLC11A1
SLC22A17
SLC25A43
SLC27A3
SLC2A5
SLC35F2
SLC40A1
SLC4A8
SLC9A7
SLC9A7
SLIT1
SNPH
SNX2
SNX2
SNX2
SOGA3///KIAA0408
SORBS1
SP1
SPNS3
SPOPL
SPOPL
SPRED1
SRGAP2C
SRGAP2C///SRGAP2B///SRGAP2
SRGAP2C///SRGAP2B///SRGAP2
SRPK2
SSBP3
SSH2
SSX2IP
ST6GALNAC1
STAP1
STAP1
STAT5B
STOM
STOM
STS
STS
STX3
SUPT6H
SWAP70
SWAP70
SYNE3
SYNM
SYT11
TASP1
TBXA2R
TCF4
TCF4
TCF4
TCF7
TCF7
TCL1A
TCL1A
TESPA1
TET1
TFDP2
TFEB
TFEB
THEMIS2
TLR1
TMEM220
TMIGD2
TNFAIP8
TOX
TRAK1
TRAK1
TRAT1
TRBC1
TRBC1
TRBC1
TRDV3
TRIB3
TRIO
TRIO
TSHR
TSHR
TSHR
TSPAN13
TSPAN14
TTC28-AS1
TUSC3
TUSC3
UBASH3A
UBASH3B
UBASH3B
UGP2
UNC93B1
UNC93B1
USP44
USP46
UXS1
UXS1
VPREB1
VPREB3
WDFY4
WDR49
XG
YME1L1
YME1L1
ZAP70
ZBED1
ZC3H12D
ZCCHC14
ZCCHC7
ZCCHC7
ZDHHC14
ZEB2
ZEB2
ZFHX3
ZFHX3
ZFHX3
ZHX2
ZNF165
ZNF296
ZNF521
ZNF521
ZNF529
ZNF529
